timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616527421596,1058,13,200,OK,Kcb_questions 1-1,text,true,,1091,943,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1058,0,0
1616527422656,218,14,200,OK,Kcb_questions 1-1,text,true,,1091,931,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,218,0,0
1616527422876,107,15,200,OK,Kcb_questions 1-1,text,true,,1272,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,107,0,0
1616527422984,101,16,200,OK,Kcb_questions 1-1,text,true,,1278,961,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,101,0,0
1616527423087,197,17,200,OK,Kcb_questions 1-1,text,true,,1073,949,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,197,0,0
1616527423286,144,18,200,OK,Kcb_questions 1-1,text,true,,1063,939,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,144,0,0
1616527423432,226,19,200,OK,Kcb_questions 1-1,text,true,,1385,933,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,226,0,116
1616527423659,95,20,200,OK,Kcb_questions 1-1,text,true,,1301,937,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,95,0,0
1616527423755,100,21,200,OK,Kcb_questions 1-1,text,true,,1344,935,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,100,0,0
1616527423857,251,22,200,OK,Kcb_questions 1-1,text,true,,1041,930,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,251,0,0
1616527424110,177,23,200,OK,Kcb_questions 1-1,text,true,,1461,982,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,177,0,0
1616527424287,3560,AUTHENTICATE,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 3,560 milliseconds, but should not have lasted longer than 3,000 milliseconds.",960,971,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/event,3560,0,117
